chip_id,type,rationale,continent,lat,lon,panel_frac,dice,recall,precision,gt_px,pred_px,frac_year_2024,poly_total_area_m2,poly_2024_area_m2,n_polys,min_year,max_year,in_b4,in_b8,in_b11,in_ndvi,in_n
c+003605_r+002165,A,in_b11=2728<3330 (panel-like) AND R=0.68<0.70,Asia,44.5034136516176,82.91521937645912,0.8578,0.8051,0.6788,0.989,56207,38581,1.0000,5622120,5621923,2,2021.0,2024.0,1862.4,1985.5,2728.3,0.0320,56207
c+004217_r+001757,B,in_b11=3658>3583 (bare-like) AND R=0.00<0.10,Asia,37.42990062058469,96.98930459581648,0.7321,0.0,0.0,0.0,47866,0,0.0000,4798208,0,1,2017.0,2017.0,2561.0,2875.9,3658.4,0.0579,47866
c+004216_r+001757,B,in_b11=3764>3583 (bare-like) AND R=0.01<0.10,Asia,37.42990062058469,96.96630772454304,0.984,0.021,0.0106,1.0,64488,683,0.0000,6448948,0,1,2017.0,2017.0,2505.0,2845.3,3764.1,0.0636,64488
c+004812_r+001613,A,in_b11=2361<3330 (panel-like) AND R=0.65<0.70,Asia,34.754437111733395,110.67244300352505,0.7233,0.7689,0.6474,0.9464,47391,32422,0.0000,4739965,0,2,2017.0,2018.0,1029.8,2773.8,2360.6,0.4585,47391
c+004139_r+001701,C,"F=1.00, R=0.82, in_b11=3634 (between 3330-3583)",Asia,36.400280072496464,95.19554863648662,0.5497,0.8368,0.8243,0.8497,36050,34971,1.0000,3602666,3602666,1,2024.0,2024.0,2202.7,2294.5,3633.7,0.0204,36050
c+003340_r+001812,C,"F=0.00, R=0.41, in_b11=3666 (between 3330-3583)",Asia,38.42753871018418,76.82104848899228,0.4947,0.5746,0.4073,0.9749,32422,13547,0.0000,3242057,0,1,2023.0,2023.0,2662.1,2797.9,3665.7,0.0249,32422
c-004770_r+001994,A,in_b11=1438<3330 (panel-like) AND R=0.00<0.70,N_America,41.6313739810734,-109.68357753876626,0.4008,0.0,0.0,0.0,26270,0,0.0000,2626685,0,3,2019.0,2019.0,3250.8,3541.2,1438.4,0.0428,26270
c+002820_r+001876,C,"F=1.00, R=0.91, in_b11=3489 (between 3330-3583)",Asia,39.57130737692815,64.86267542679322,0.4963,0.6643,0.9118,0.5225,32548,56793,1.0000,3252588,3252588,2,2024.0,2024.0,2062.5,2306.0,3489.0,0.0557,32548
c+004220_r+001754,C,"F=1.00, R=0.36, in_b11=3916 (between 3330-3583)",Asia,37.37509529975219,97.05829520963688,0.5349,0.5322,0.3636,0.9924,35051,12841,1.0000,3505832,3505832,1,2024.0,2024.0,2463.2,2765.8,3916.5,0.0579,35051
c+004813_r+001613,A,in_b11=2478<3330 (panel-like) AND R=0.49<0.70,Asia,34.754437111733395,110.6954398747985,0.606,0.6539,0.4932,0.97,39722,20198,0.0000,3971666,0,2,2018.0,2018.0,1225.0,2752.5,2478.0,0.3840,39722
c+004835_r+001920,A,in_b11=2575<3330 (panel-like) AND R=0.00<0.70,Asia,40.34688877506551,111.2013710428146,0.442,0.0,0.0,0.0,28978,0,0.0000,2897004,0,1,2017.0,2017.0,1515.5,1834.6,2574.6,0.0952,28978
c+004230_r+001754,C,"F=0.00, R=0.31, in_b11=3355 (between 3330-3583)",Asia,37.37509529975219,97.28826392237146,0.7992,0.4761,0.3124,1.0,52441,16383,0.0000,5237398,0,2,2021.0,2021.0,2309.0,2539.1,3354.7,0.0475,52441
c+004322_r+001328,C,"F=0.00, R=0.70, in_b11=3484 (between 3330-3583)",Asia,29.198696216663155,99.40397607952976,0.4568,0.8049,0.7001,0.9467,29962,22158,0.0000,2993430,0,2,2023.0,2023.0,1207.6,1516.4,3483.8,0.1134,29962
c+004372_r+001683,C,"F=0.00, R=0.62, in_b11=3453 (between 3330-3583)",Asia,36.06638721786404,100.55381964320274,0.5688,0.6742,0.6155,0.7452,37310,30819,0.0000,3727872,0,2,2023.0,2023.0,1875.5,2439.3,3452.7,0.1307,37310
c+003096_r+001070,A,in_b11=2753<3330 (panel-like) AND R=0.69<0.70,Asia,23.89386154641742,71.2098118982681,0.638,0.8117,0.691,0.9835,41803,29372,0.0000,4180965,0,1,2020.0,2020.0,1795.9,2072.9,2753.1,0.0716,41803
c+001896_r+001152,B,in_b11=4143>3583 (bare-like) AND R=0.00<0.10,Africa,25.6062946709019,43.61356637011641,0.6485,0.0,0.0,0.0,42489,0,1.0000,4250312,4250312,1,2024.0,2024.0,2601.5,2886.2,4143.1,0.0519,42489
c+004908_r+001901,A,in_b11=2348<3330 (panel-like) AND R=0.68<0.70,Asia,40.01305790398392,112.88014264577716,0.423,0.765,0.6796,0.8751,27696,21507,0.0000,2773512,0,10,2017.0,2020.0,1161.0,1742.4,2348.2,0.2003,27696
c+004842_r+001941,C,"F=0.00, R=0.77, in_b11=2616 (between 3330-3583)",Asia,40.71394678926374,111.36234914172884,0.5368,0.816,0.7687,0.8696,35125,31048,0.0000,3518248,0,3,2017.0,2017.0,1602.0,2216.2,2615.9,0.1609,35125
c+004222_r+001755,C,"F=1.00, R=0.66, in_b11=3824 (between 3330-3583)",Asia,37.39336819369264,97.10428895218378,0.4418,0.7918,0.6554,1.0,28951,18975,1.0000,2895351,2895351,1,2023.0,2024.0,2238.8,2475.6,3823.7,0.0502,28951
c+004908_r+001902,A,in_b11=2132<3330 (panel-like) AND R=0.39<0.70,Asia,40.03066888730552,112.88014264577716,0.5112,0.5496,0.3901,0.9296,33458,14041,0.0000,3349877,0,5,2017.0,2018.0,996.5,1871.4,2131.7,0.3050,33458
c+003462_r+001934,A,in_b11=3270<3330 (panel-like) AND R=0.61<0.70,Asia,40.59181753739311,79.62666678435438,0.5186,0.7604,0.6136,0.9997,33989,20862,0.0000,3399021,0,2,2017.0,2023.0,2107.4,2255.3,3269.9,0.0339,33989
c+001720_r+000923,C,"F=1.00, R=0.37, in_b11=4122 (between 3330-3583)",Africa,20.767357706849868,39.566117025987495,0.7155,0.5384,0.3746,0.9571,46843,18332,1.0000,4688824,4688824,2,2024.0,2024.0,2483.6,2620.1,4121.9,0.0268,46843
c+004732_r+001925,A,in_b11=3193<3330 (panel-like) AND R=0.38<0.70,Asia,40.434465871028,108.83269330164826,0.9339,0.5498,0.3802,0.9932,61209,23429,0.9914,6120697,6068150,2,2023.0,2024.0,1875.7,2143.0,3192.6,0.0665,61209
c+004560_r+001762,C,"F=0.01, R=0.51, in_b11=3803 (between 3330-3583)",Asia,37.52115371285519,104.87723144261318,0.5003,0.6636,0.5138,0.9365,32785,17988,0.0142,3278656,46439,4,2023.0,2024.0,2187.0,2425.1,3803.0,0.0516,32785
c-005150_r+001617,C,"F=0.00, R=0.70, in_b11=2737 (between 3330-3583)",N_America,34.829979690137506,-118.42238862268096,0.4733,0.8251,0.7042,0.9959,31043,21950,0.0000,3101889,0,2,2017.0,2017.0,1259.8,2329.4,2736.5,0.2980,31043
c-005021_r+001655,C,"F=0.00, R=0.76, in_b11=3382 (between 3330-3583)",N_America,35.5441715688006,-115.45579222840466,0.4592,0.8392,0.7633,0.9319,30110,24661,0.0000,3009217,0,2,2017.0,2017.0,2284.0,2727.3,3381.7,0.0885,30110
c+004364_r+001677,C,"F=0.00, R=0.72, in_b11=3046 (between 3330-3583)",Asia,35.95477307440563,100.36984467301508,0.6674,0.8387,0.7233,0.9978,43794,31749,0.0000,4373813,0,1,2021.0,2021.0,1382.5,1804.1,3045.7,0.1323,43794
c+004106_r+001904,B,in_b11=3685>3583 (bare-like) AND R=0.00<0.10,Asia,40.06587721581751,94.43665188446244,0.6041,0.0,0.0,0.0,39587,0,0.0000,3959200,0,1,2021.0,2021.0,3163.8,3178.9,3684.5,0.0024,39587
c+004449_r+001794,A,in_b11=2609<3330 (panel-like) AND R=0.59<0.70,Asia,38.1025299615932,102.32457873125917,0.7596,0.7454,0.5942,1.0,49812,29598,0.0000,4977809,0,1,2017.0,2017.0,1794.8,2060.4,2608.8,0.0689,49812
c+004784_r+001871,C,"F=0.87, R=0.71, in_b11=2846 (between 3330-3583)",Asia,39.48261706932451,110.02853060786816,0.633,0.8217,0.7107,0.9738,41486,30279,0.8684,4148476,3602656,5,2017.0,2024.0,1316.7,1926.9,2845.6,0.1881,41486
c+004367_r+001682,A,in_b11=3246<3330 (panel-like) AND R=0.70<0.70,Asia,36.04779583662296,100.43883528683544,0.5193,0.821,0.6964,1.0,34000,23678,0.0000,3403369,0,1,2023.0,2023.0,1610.8,2153.7,3246.1,0.1442,34000
c+004221_r+001755,C,"F=0.41, R=0.43, in_b11=3906 (between 3330-3583)",Asia,37.39336819369264,97.08129208091032,0.8209,0.5975,0.4273,0.9933,53773,23133,0.4067,5379895,2187773,3,2023.0,2024.0,2478.1,2737.1,3905.6,0.0497,53773
c-005029_r+001504,A,in_b11=2750<3330 (panel-like) AND R=0.66<0.70,N_America,32.66952015656337,-115.63976719859234,0.7631,0.7882,0.6571,0.9844,50069,33422,0.0000,5001517,0,4,2017.0,2023.0,1957.4,2150.7,2750.2,0.0471,50069
c+003607_r+002167,C,"F=1.00, R=0.73, in_b11=2955 (between 3330-3583)",Asia,44.53620755944658,82.96121311900605,0.6993,0.8399,0.7283,0.9921,45796,33619,1.0000,4582650,4582650,1,2024.0,2024.0,1913.6,2005.6,2954.5,0.0235,45796
c+004485_r+001223,B,frac_year_2024=1.00>=0.50 AND R=0.04<0.10,Asia,27.069519659830217,103.1524660971037,0.4516,0.0826,0.0431,0.9907,29641,1290,1.0000,2959612,2959612,2,2024.0,2024.0,1092.8,2052.9,2203.4,0.3052,29641
c+005118_r+002477,A,in_b11=2924<3330 (panel-like) AND R=0.26<0.70,Asia,49.39644788946258,117.70948561320373,0.4492,0.4053,0.2552,0.984,29457,7640,0.0000,2943951,0,5,2017.0,2021.0,1686.3,1963.6,2924.2,0.0760,29457
c-005103_r+001627,C,"F=0.00, R=0.72, in_b11=3807 (between 3330-3583)",N_America,35.01853307328994,-117.34153567282836,0.5355,0.8383,0.7216,1.0,35117,25339,0.0000,3509710,0,3,2017.0,2023.0,2857.9,3297.6,3807.1,0.0714,35117
c+005347_r+002250,A,in_b11=2123<3330 (panel-like) AND R=0.62<0.70,Asia,45.88087585965985,122.975769134826,0.7089,0.7676,0.6243,0.9963,46436,29096,0.0000,4645841,0,1,2019.0,2019.0,1305.2,1681.4,2123.3,0.1259,46436
c-004906_r+001538,C,"F=0.06, R=0.41, in_b11=3914 (between 3330-3583)",N_America,33.325284036244305,-112.8111520319568,0.7177,0.5806,0.4103,0.9923,47030,19447,0.0627,4703285,294912,3,2017.0,2024.0,2823.4,3176.5,3913.9,0.0588,47030
c-005036_r+001683,C,"F=0.87, R=0.68, in_b11=3410 (between 3330-3583)",N_America,36.06638721786404,-115.80074529750657,0.6432,0.808,0.6782,0.9993,42149,28605,0.8738,4215266,3683415,3,2023.0,2024.0,1957.1,2389.7,3410.2,0.0995,42149
c+004971_r+001758,C,"F=0.00, R=0.76, in_b11=2675 (between 3330-3583)",Asia,37.44816015199551,114.32894553600514,0.4212,0.8323,0.7597,0.9201,27593,22783,0.0000,2760052,0,7,2017.0,2020.0,1168.0,2513.2,2674.6,0.3654,27593
c+003191_r+001286,C,"F=0.00, R=0.66, in_b11=3769 (between 3330-3583)",Asia,28.352111792052856,73.39451466924679,0.6775,0.7957,0.6607,1.0,44421,29351,0.0000,4439896,0,1,2020.0,2020.0,2188.9,2435.9,3769.2,0.0534,44421
c+005043_r+001455,A,in_b11=1862<3330 (panel-like) AND R=0.65<0.70,Asia,31.715933701554675,115.98472026769424,0.5831,0.7605,0.6452,0.9259,38220,26634,0.0000,3821882,0,3,2018.0,2019.0,730.6,2682.0,1862.4,0.5718,38220
c+003483_r+001960,C,"F=0.00, R=0.00, in_b11=3380 (between 3330-3583)",Asia,41.044312864219656,80.10960108109704,0.5799,0.0,0.0,0.0,38009,0,0.0000,3800476,0,2,2017.0,2017.0,2774.6,2879.3,3380.1,0.0185,38009
c+004366_r+001681,A,in_b11=3084<3330 (panel-like) AND R=0.66<0.70,Asia,36.029200063749805,100.415838415562,0.5203,0.7918,0.6553,1.0,34153,22381,0.0000,3409662,0,1,2023.0,2023.0,1405.8,1950.3,3084.1,0.1622,34153
c+004892_r+001908,C,"F=0.00, R=0.75, in_b11=2675 (between 3330-3583)",Asia,40.13623930669795,112.51219270540182,0.4209,0.8428,0.7481,0.965,27582,21383,0.0000,2758168,0,3,2017.0,2019.0,1342.6,2091.5,2674.5,0.2181,27582
c+002412_r+001111,C,"F=0.00, R=0.76, in_b11=4996 (between 3330-3583)",Asia,24.753027745969497,55.47995194722164,0.7652,0.8163,0.7611,0.8802,50053,43276,0.0000,5014897,0,2,2017.0,2021.0,4023.0,4197.5,4996.5,0.0212,50053
c+003341_r+001812,C,"F=0.00, R=0.00, in_b11=3576 (between 3330-3583)",Asia,38.42753871018418,76.84404536026575,0.7046,0.0,0.0,0.0,46166,0,0.0000,4617428,0,2,2023.0,2023.0,2608.2,2748.0,3576.0,0.0261,46166
c-003909_r+001874,A,in_b11=2416<3330 (panel-like) AND R=0.33<0.70,N_America,39.53584484767727,-89.88327137231742,0.6724,0.4916,0.3259,1.0,44073,14363,0.0000,4406558,0,1,2020.0,2020.0,825.8,2381.7,2416.1,0.4851,44073
c-004916_r+001817,A,in_b11=2937<3330 (panel-like) AND R=0.46<0.70,N_America,38.51756066769576,-113.04112074469138,0.6739,0.6299,0.46,0.9987,44162,20340,0.0000,4416553,0,2,2017.0,2021.0,1814.9,2391.8,2936.8,0.1371,44162
c-005136_r+001630,C,"F=0.18, R=0.64, in_b11=4174 (between 3330-3583)",N_America,35.075014547890895,-118.10043242485251,0.4437,0.765,0.635,0.9619,29066,19188,0.1801,2907682,523734,3,2017.0,2024.0,2174.2,2873.4,4174.2,0.1385,29066
c+004688_r+001764,A,in_b11=2894<3330 (panel-like) AND R=0.56<0.70,Asia,37.55762374374828,107.82083096561604,0.5521,0.7091,0.5567,0.9765,36163,20617,0.0000,3618487,0,2,2017.0,2023.0,1596.9,2027.7,2894.3,0.1189,36163
c+001721_r+000922,B,in_b11=4168>3583 (bare-like) AND R=0.04<0.10,Africa,20.74585346244345,39.58911389726095,0.8306,0.0785,0.0409,0.9863,54425,2257,1.0000,5443166,5443166,2,2024.0,2024.0,2468.4,2605.0,4167.8,0.0269,54425
c+004909_r+001898,A,in_b11=2273<3330 (panel-like) AND R=0.48<0.70,Asia,39.960197683648495,112.90313951705065,0.4515,0.6343,0.4807,0.9321,29636,15283,0.0000,2959416,0,4,2017.0,2020.0,1067.7,1926.1,2272.8,0.2867,29636
c-005067_r+001944,B,frac_year_2024=1.00>=0.50 AND R=0.00<0.10,N_America,40.76621945189432,-116.5136483069838,0.7085,0.0,0.0,0.0,46442,0,1.0000,4643219,4643219,1,2024.0,2024.0,1682.9,2743.0,2531.5,0.2395,46442
c+004141_r+001699,C,"F=1.00, R=0.73, in_b11=3766 (between 3330-3583)",Asia,36.363251311483296,95.24154237903356,0.5077,0.8427,0.7324,0.9922,33248,24541,1.0000,3327125,3327125,2,2024.0,2024.0,2421.9,2517.5,3766.0,0.0193,33248
c+004221_r+001757,C,"F=0.00, R=0.57, in_b11=3837 (between 3330-3583)",Asia,37.42990062058469,97.08129208091032,0.8,0.7225,0.5662,0.9978,52439,29759,0.0000,5242557,0,8,2017.0,2023.0,2183.9,2493.1,3836.7,0.0661,52439
c+004929_r+001481,A,in_b11=2079<3330 (panel-like) AND R=0.57<0.70,Asia,32.223162858103635,113.36307694251984,0.4006,0.7204,0.5746,0.9654,26231,15612,0.0000,2625307,0,2,2017.0,2017.0,784.7,2629.5,2078.6,0.5403,26231
c+004588_r+001159,A,in_b11=2645<3330 (panel-like) AND R=0.63<0.70,Asia,25.751374058565126,105.52114383827004,0.411,0.7426,0.6257,0.9132,26930,18452,0.0000,2693844,0,3,2021.0,2022.0,1102.1,2156.9,2645.0,0.3237,26930
c+002856_r+001809,C,"F=1.00, R=0.72, in_b11=3540 (between 3330-3583)",Asia,38.37347159986668,65.69056279263776,0.7372,0.839,0.7227,1.0,48315,34915,1.0000,4831048,4831048,1,2024.0,2024.0,1996.0,2382.0,3540.2,0.0882,48315
c+005118_r+002478,C,"F=0.00, R=0.72, in_b11=2954 (between 3330-3583)",Asia,49.41141246245209,117.70948561320373,0.5979,0.8085,0.725,0.9137,39168,31079,0.0000,3918218,0,4,2019.0,2021.0,1713.6,1997.5,2953.8,0.0765,39168
c+003095_r+001070,C,"F=0.00, R=0.74, in_b11=2932 (between 3330-3583)",Asia,23.89386154641742,71.18681502699465,0.4917,0.845,0.741,0.9829,32174,24256,0.0000,3222317,0,2,2019.0,2020.0,1818.3,2112.3,2932.0,0.0748,32174
c+004769_r+001831,A,in_b11=2766<3330 (panel-like) AND R=0.43<0.70,Asia,38.76902372633928,109.68357753876626,0.6925,0.5996,0.4344,0.9676,45385,20373,0.0000,4538276,0,3,2017.0,2018.0,1559.4,2015.8,2765.9,0.1277,45385
c+003696_r+002236,A,in_b11=2918<3330 (panel-like) AND R=0.39<0.70,Asia,45.65629315872077,85.00793466234397,0.4799,0.5511,0.3874,0.954,31418,12759,1.0000,3144922,3144922,3,2024.0,2024.0,2026.4,2111.6,2918.4,0.0206,31418
c-004482_r+001150,C,"F=0.00, R=0.72, in_b11=3643 (between 3330-3583)",N_America,25.56481100945449,-103.06047861200986,0.5506,0.8339,0.7215,0.9877,36104,26375,0.0000,3608232,0,1,2017.0,2017.0,2403.6,2913.6,3642.6,0.0959,36104
c+003188_r+001278,C,"F=1.00, R=0.64, in_b11=3990 (between 3330-3583)",Asia,28.190082104414792,73.32552405542641,0.4173,0.7783,0.64,0.9927,27334,17622,1.0000,2734905,2734905,3,2024.0,2024.0,2267.4,2484.2,3989.6,0.0456,27334
c+004373_r+001684,A,in_b11=3023<3330 (panel-like) AND R=0.65<0.70,Asia,36.0849742065532,100.5768165144762,0.8426,0.7813,0.6517,0.9752,55224,36907,0.0000,5521949,0,1,2023.0,2023.0,1644.5,2147.6,3023.3,0.1326,55224
c+004918_r+001906,A,in_b11=2290<3330 (panel-like) AND R=0.62<0.70,Asia,40.10106735690586,113.11011135851176,0.4271,0.6659,0.6212,0.7174,27978,24228,0.0000,2799185,0,6,2017.0,2017.0,1154.4,1718.1,2289.6,0.1962,27978
c-004310_r+001315,A,in_b11=2620<3330 (panel-like) AND R=0.63<0.70,N_America,28.937393178145346,-99.1050167529748,0.5911,0.7659,0.6255,0.9876,38705,24514,0.0000,3873594,0,4,2022.0,2022.0,1017.3,2005.9,2619.9,0.3270,38705
c+003709_r+002000,C,"F=1.00, R=0.39, in_b11=3715 (between 3330-3583)",Asia,41.7344233903071,85.30689398889893,0.4386,0.5596,0.3891,0.9962,28741,11226,1.0000,2874525,2874525,1,2024.0,2024.0,2857.2,2842.0,3714.6,-0.0027,28741
c+004781_r+001952,C,"F=0.00, R=0.69, in_b11=3359 (between 3330-3583)",Asia,40.90541233631722,109.9595399940478,0.4726,0.8138,0.6869,0.9982,30975,21317,0.0000,3097137,0,1,2017.0,2017.0,1900.2,2399.0,3358.9,0.1160,30975
