chip_id,type,rationale,continent,lat,lon,panel_frac,dice,recall,precision,gt_px,pred_px,frac_year_2024,poly_total_area_m2,poly_2024_area_m2,n_polys,min_year,max_year,in_b4,in_b8,in_b11,in_ndvi,in_n
c-004997_r+001701,A,in_b11=3091<3330 (panel-like) AND R=0.25<0.70,N_America,36.400280072496464,-114.90386731784164,0.4949,0.4053,0.2547,0.9914,32442,8335,0.0000,3243560,0,2,2017.0,2017.0,1994.0,2178.3,3090.5,0.0442,32442
c+004370_r+001680,C,"F=0.00, R=0.73, in_b11=2765 (between 3330-3583)",Asia,36.01059990016648,100.50782590065585,0.9881,0.8424,0.7277,1.0,64768,47131,0.0000,6475790,0,1,2023.0,2023.0,1478.4,1885.5,2765.3,0.1210,64768
c+003193_r+001285,C,"F=0.00, R=0.58, in_b11=3860 (between 3330-3583)",Asia,28.331871563698453,73.4405084117937,0.6724,0.7373,0.584,0.9997,44056,25737,0.0000,4406633,0,1,2020.0,2020.0,2369.6,2608.4,3860.0,0.0480,44056
c-004911_r+001539,C,"F=0.00, R=0.73, in_b11=2841 (between 3330-3583)",N_America,33.344497298237954,-112.9261363883241,0.6728,0.8464,0.7348,0.9979,44093,32469,0.0000,4409086,0,3,2017.0,2023.0,1888.0,2008.7,2841.1,0.0310,44093
c+003548_r+001098,C,"F=0.00, R=0.62, in_b11=3361 (between 3330-3583)",Asia,24.481240722026964,81.60439771387192,0.4499,0.7466,0.6197,0.9389,29472,19451,0.0000,2948661,0,3,2019.0,2019.0,1650.3,1876.8,3360.6,0.0642,29472
c+004567_r+001764,A,in_b11=3118<3330 (panel-like) AND R=0.65<0.70,Asia,37.55762374374828,105.0382095415274,0.5879,0.7845,0.65,0.989,38517,25316,0.0000,3853092,0,4,2017.0,2017.0,1926.4,2183.0,3117.8,0.0624,38517
c+004222_r+001757,C,"F=0.00, R=0.54, in_b11=3918 (between 3330-3583)",Asia,37.42990062058469,97.10428895218378,0.7369,0.7001,0.539,0.9985,48299,26070,0.0000,4829158,0,4,2017.0,2023.0,2264.3,2585.9,3917.9,0.0663,48299
c+004689_r+001764,A,in_b11=3216<3330 (panel-like) AND R=0.69<0.70,Asia,37.55762374374828,107.84382783688947,0.4237,0.8184,0.6931,0.9991,27787,19277,0.0000,2776757,0,1,2023.0,2023.0,1546.9,2012.8,3215.9,0.1309,27787
c+004909_r+001901,A,in_b11=2325<3330 (panel-like) AND R=0.60<0.70,Asia,40.01305790398392,112.90313951705065,0.7506,0.7385,0.6049,0.9479,49175,31383,0.0000,4919716,0,4,2017.0,2021.0,1130.0,1828.8,2324.5,0.2362,49175
c+002314_r+002689,A,in_b11=1935<3330 (panel-like) AND R=0.01<0.70,Europe,52.46760455096612,53.226258562422586,0.4291,0.0226,0.0114,1.0,28130,321,0.0000,2812089,0,1,2017.0,2017.0,844.0,1506.1,1934.6,0.2817,28130
c+004448_r+001803,A,in_b11=2798<3330 (panel-like) AND R=0.69<0.70,Asia,38.265216107249934,102.30158185998567,0.7261,0.8139,0.6903,0.9913,47597,33143,0.0000,4758843,0,4,2017.0,2023.0,1879.3,2067.7,2798.4,0.0477,47597
c+004369_r+001687,A,in_b11=2801<3330 (panel-like) AND R=0.27<0.70,Asia,36.14070880814171,100.48482902938235,0.4638,0.4203,0.27,0.9482,30379,8649,1.0000,3039549,3039549,1,2023.0,2024.0,1654.4,2237.7,2800.8,0.1499,30379
c-003624_r+001891,C,"F=1.00, R=0.74, in_b11=1712 (between 3330-3583)",N_America,39.83669815615117,-83.3291630593814,0.4921,0.8362,0.7429,0.9563,32232,25039,1.0000,3224759,3224759,5,2024.0,2024.0,658.1,2348.0,1712.4,0.5622,32232
